Instruction,Input,Output,Category,Subcategory
"Create a Python program to display the Fibonacci sequence up to the nth term, as specified by the user.",n = 20,"def fibonacci(n): 
 # Fibonacci numbers are 0, 1, 1, 2, 3, 5,... 
 a = 0
 b = 1
 if n < 0: 
 print(""Incorrect input"") 
 elif n == 0: 
 return a 
 elif n == 1: 
 return b 
 else: 
 for i in range(2,n): 
 c = a + b 
 a = b 
 b = c 
 return b 

print(fibonacci(n))",Algorithms and Dynamic Programming,fibonacci
Generate a Python method which will check whether an input number is even or odd.,,"def is_even(num):
""""""
This function takes a number as input 
and checks whether it is even or odd.

Parameters
----------
num : int
    The number to be checked.

Returns
-------
bool
    Returns True if the number is even, 
    False otherwise.
""""""

if num % 2 == 0:
 return True
else:
 return False",Mathematics,number
Build a program in Python for finding the largest prime number in a given range.,1-100,"def largest_prime(num):
    largest_prime = 0
    for n in range (num):
        if(isPrime(n)):
            largest_prime = n
    return largest_prime

def isPrime(n):
    if(n == 1):
        return False
    elif(n == 2):
        return True
    else:
        for x in range(2,n//2+1):
            if(n % x == 0):
                return False
        return True

print(largest_prime(100))",Mathematics,prime
Write a function to find the length of the longest sub-sequence such that elements in the subsequences are consecutive integers.,,"def find_longest_conseq_subseq(arr, n): 
	ans = 0
	count = 0
	arr.sort() 
	v = [] 
	v.append(arr[0]) 
	for i in range(1, n): 
		if (arr[i] != arr[i - 1]): 
			v.append(arr[i]) 
	for i in range(len(v)): 
		if (i > 0 and v[i] == v[i - 1] + 1): 
			count += 1
		else: 
			count = 1
		ans = max(ans, count) 
	return ans ",Syntax,integer
Design a Python program to print a triangle of numbers.,,"def triangle_of_nums(n):
    k = 0
    for i in range(1, n + 1):
        # inner loop to handle number of columns 
        for j in range(0, i): 
           # printing numbers 
           print(k, end="" "") 
           # incrementing k 
           k = k + 1
        # ending line after each row 
        print(""\r"") 

n = 4
triangle_of_nums(n)

# Output:
# 0 
# 1 2 
# 3 4 5 
# 6 7 8 9",Syntax,print
Create an interface using Python and Tkinter to read data from an external source and show it in a canvas.,,"import tkinter as tk
from tkinter import Canvas
import requests

# Window
window = tk.Tk()
window.title('Data Display')
window.geometry('800x600')

# Canvas and Frame
canvas = Canvas(window, bg='white')
canvas.pack()

# Retrieve data
response = requests.get('http://example.com/data.json')
data = response.json()

# Render data onto canvas
# ...

window.mainloop()",File Handling,read
Create a class in Python that can be used to model and store data about a person.,,"class Person:
 def __init__(self, name, age, gender, height, weight):
  self.name = name
  self.age = age
  self.gender = gender
  self.height = height
  self.weight = weight

def get_name(self):
  return self.name

def get_age(self):
  return self.age

def get_gender(self):
  return self.gender

def get_height(self):
  return self.height

def get_weight(self):
  return self.weight",Object-Oriented Programming,class
"Using Python, create a function that returns the first 10 prime numbers.",,"def find_prime_numbers(num):
 prime_numbers = []
 for x in range(2, num):
 flag = True
 for y in prime_numbers:
 if x % y == 0:
 flag = False
 break
 if flag:
 prime_numbers.append(x)
 if len(prime_numbers) == 10
 break

return prime_numbers
 
# Usage
find_prime_numbers(100)
# Output
[2, 3, 5, 7, 11, 13, 17, 19, 23, 29]",Mathematics,prime
Develop a function in Python to find the maximum number in a binary search tree.,,"class Node:
 def __init__(self, val):
 self.val = val
 self.left = None
 self.right = None

def findMaxValue(root):
 if root is None:
 return None
 
 if root.right is None:
 return root.val
 
 return findMaxValue(root.right)

# Usage example
root = Node(3)
root.left = Node(2)
root.right = Node(5)

maxValue = findMaxValue(root)
print('Max Value:', maxValue)",Mathematics,number
"Write a Python program to create functions for min, max, and mean of a given list.",A list of 10 integers,"def min_list(numbers):
  min_num = min(numbers)
  return min_num

def max_list(numbers):
  max_num = max(numbers)
  return max_num

def mean_list(numbers):
  mean_num = sum(numbers)/len(numbers)
  return mean_num

numbers = [1,2,3,4,5,6,7,8,9,10]

print(min_list(numbers))
print(max_list(numbers))
print(mean_list(numbers))

# Output
# 1
# 10
# 5.5",Data Analysis,min
